year,home_team,home_points,away_team,away_points
2015,Wagner,24,Lafayette,35
2015,South Dakota State,34,Robert Morris,10
2015,New Hampshire,57,Central Connecticut,14
2015,Dayton,31,Kennesaw State,27
2015,Eastern Michigan,36,Army,58
2015,Eastern Kentucky,51,Austin Peay,13
2015,Florida A&M,14,Tennessee State,30
2015,Coastal Carolina,31,Bryant,17
2015,Louisville,45,Samford,3
2015,Toledo,37,Arkansas State,7
2015,Murray State,29,Tennessee Tech,31
2015,Southern Illinois,34,Liberty,13
2015,UTSA,31,Colorado State,33
2015,SMU,45,James Madison,48
2015,Louisiana,14,Akron,35
2015,Sam Houston,63,Houston Christian,14
2015,Northwestern State,21,Central Arkansas,49
2015,Dartmouth,49,Sacred Heart,7
2015,Harvard,53,Brown,27
2015,Arkansas,21,Texas A&M,28
2015,Ole Miss,27,Vanderbilt,16
2015,Charlotte,7,Florida Atlantic,17
2015,Presbyterian,0,Chattanooga,21
2015,Wofford,16,Gardner-Webb,0
2015,McNeese,37,Mississippi College,0
2015,William & Mary,21,Stony Brook,0
2015,Auburn,9,Mississippi State,17
2015,Kentucky,21,Missouri,13
2015,Houston,59,Texas State,14
2015,South Alabama,13,NC State,63
2015,Wisconsin,28,Hawai'i,0
2015,UTEP,27,Incarnate Word,17
2015,Northwestern,24,Ball State,19
2015,Southern Utah,55,Brevard College,7
2015,Arizona,30,UCLA,56
2015,Oregon,20,Utah,62
2015,Idaho,20,Georgia Southern,44
2015,UNLV,80,Idaho State,8
2015,Sacramento State,20,Eastern Washington,28
2015,San José State,49,Fresno State,23
2015,Arizona State,14,USC,42
2015,SE Louisiana,30,Lamar,27
2015,Cincinnati,34,Miami,23
2015,Texas Southern,23,Alabama State,41
2015,Cornell,21,Colgate,28
2015,Charlotte,3,Temple,37
2015,South Florida,17,Memphis,24
2015,Harvard,45,Georgetown,0
2015,Princeton,10,Columbia,5
2015,Weber State,0,Southern Utah,44
2015,BYU,30,UConn,13
2015,Michigan State,24,Purdue,21
2015,TCU,50,Texas,7
2015,James Madison,38,Stony Brook,20
2015,Wagner,6,Robert Morris,9
2015,Duquesne,27,Central Connecticut,10
2015,Hampton,31,North Carolina A&T,45
2015,Virginia Tech,13,Pittsburgh,17
2015,Tulsa,24,Houston,38
2015,Tulane,45,UCF,31
2015,Iowa State,38,Kansas,13
2015,Penn State,20,Army,14
2015,Missouri,24,South Carolina,10
2015,Maryland,0,Michigan,28
2015,Wisconsin,6,Iowa,10
2015,Northwestern,27,Minnesota,0
2015,Oklahoma,44,West Virginia,24
2015,Lehigh,12,Yale,27
2015,NC State,13,Louisville,20
2015,Davidson,35,Valparaiso,42
2015,Howard,12,Norfolk State,15
2015,Illinois State,21,Northern Iowa,13
2015,East Tennessee State,9,St. Francis (PA),58
2015,Stetson,14,Dayton,27
2015,Holy Cross,37,UAlbany,0
2015,Jacksonville,30,Morehead State,26
2015,Monmouth,31,Bryant,24
2015,VMI,22,Bucknell,28
2015,Jacksonville State,49,Mississippi Valley State,7
2015,Akron,12,Ohio,14
2015,Delaware State,6,Morgan State,26
2015,North Carolina Central,26,Bethune-Cookman,28
2015,Coastal Carolina,55,Alabama A&M,0
2015,Central Michigan,29,Northern Illinois,19
2015,Missouri State,28,Indiana State,56
2015,Massachusetts,24,Florida International,14
2015,Ball State,10,Toledo,24
2015,South Dakota,3,Youngstown State,31
2015,Kent State,20,Miami (OH),14
2015,App State,31,Wyoming,13
2015,Indiana,27,Ohio State,34
2015,Navy,33,Air Force,11
2015,Baylor,63,Texas Tech,35
2015,Buffalo,22,Bowling Green,28
2015,Georgia State,33,Liberty,41
2015,Pennsylvania,20,Dartmouth,41
2015,Rice,10,Western Kentucky,49
2015,Georgia Tech,31,North Carolina,38
2015,Duke,9,Boston College,7
2015,Western Carolina,33,Presbyterian,21
2015,Wake Forest,16,Florida State,24
2015,Georgia,10,Alabama,38
2015,Marshall,27,Old Dominion,7
2015,Richmond,48,Maine,17
2015,New Hampshire,37,Elon,14
2015,UC Davis,13,Montana,27
2015,California,34,Washington State,28
2015,Oklahoma State,36,Kansas State,34
2015,San Diego,30,Marist,27
2015,Auburn,35,San José State,21
2015,Western Illinois,37,Southern Illinois,36
2015,SMU,23,East Carolina,49
2015,Illinois,14,Nebraska,13
2015,Austin Peay,16,Eastern Illinois,40
2015,Arkansas-Pine Bluff,14,Alcorn State,61
2015,Portland State,17,North Dakota,19
2015,Lafayette,7,Fordham,35
2015,Campbell,24,Drake,14
2015,Brown,41,Rhode Island,31
2015,Mercer,33,Wofford,34
2015,Furman,17,South Carolina State,3
2015,LSU,44,Eastern Michigan,22
2015,Arkansas State,49,Idaho,35
2015,Savannah St,37,Florida A&M,27
2015,Nevada,17,UNLV,23
2015,Southeast Missouri State,27,Murray State,10
2015,Tennessee Tech,17,UT Martin,31
2015,Utah State,33,Colorado State,18
2015,Troy,18,South Alabama,24
2015,UL Monroe,31,Georgia Southern,51
2015,Florida,38,Ole Miss,10
2015,South Dakota State,7,North Dakota State,28
2015,Jackson State,27,Grambling,59
2015,Middle Tennessee,13,Vanderbilt,17
2015,Tennessee,20,Arkansas,24
2015,Louisiana Tech,43,Louisiana,14
2015,Southern Miss,49,North Texas,14
2015,Northern Arizona,49,Montana State,41
2015,Delaware,24,William & Mary,23
2015,Texas A&M,30,Mississippi State,17
2015,UCLA,23,Arizona State,38
2015,Kentucky,34,Eastern Kentucky,27
2015,UTEP,6,UTSA,25
2015,New Mexico,38,New Mexico State,29
2015,Clemson,24,Notre Dame,22
2015,Cal Poly,58,Idaho State,26
2015,Sacramento State,20,Northern Colorado,27
2015,Boise State,55,Hawai'i,0
2015,San Diego State,21,Fresno State,7
2015,Stanford,55,Arizona,17
2015,Colorado,24,Oregon,41
2015,Eastern Kentucky,48,Tennessee Tech,17
2015,Bethune-Cookman,17,South Carolina State,14
2015,Houston,49,SMU,28
2015,USC,12,Washington,17
2015,Marshall,31,Southern Miss,10
2015,Virginia Tech,28,NC State,13
2015,Ole Miss,52,New Mexico State,3
2015,Iowa,29,Illinois,20
2015,Charleston Southern,37,Monmouth,7
2015,Army,3,Duke,44
2015,Ohio State,49,Maryland,28
2015,Kansas,7,Baylor,66
2015,Western Michigan,41,Central Michigan,39
2015,Temple,49,Tulane,10
2015,Western Kentucky,58,Middle Tennessee,28
2015,Texas,24,Oklahoma,17
2015,Penn State,29,Indiana,7
2015,Florida International,52,UTEP,12
2015,Rhode Island,20,Delaware,0
2015,Villanova,16,William & Mary,38
2015,Robert Morris,13,Sacred Heart,26
2015,Cornell,3,Harvard,40
2015,Pittsburgh,26,Virginia,19
2015,Davidson,14,Kentucky Wesleyan,7
2015,Dayton,13,San Diego,12
2015,Bucknell,10,Lehigh,21
2015,Kennesaw State,56,Point University,17
2015,Morehead State,34,Butler,21
2015,Duquesne,53,Alderson-Broaddus,18
2015,Central Connecticut,35,Bryant,33
2015,Pennsylvania,45,Fordham,48
2015,Chattanooga,31,Furman,3
2015,Princeton,44,Colgate,20
2015,Holy Cross,24,Brown,25
2015,VMI,13,Samford,49
2015,Dartmouth,35,Yale,3
2015,Coastal Carolina,24,Presbyterian,17
2015,North Dakota,31,Idaho State,37
2015,Ohio,34,Miami (OH),3
2015,North Dakota State,31,Northern Iowa,28
2015,Eastern Illinois,33,Southeast Missouri State,28
2015,The Citadel,39,Wofford,12
2015,Georgetown,38,Lafayette,7
2015,Hampton,21,Delaware State,7
2015,Norfolk State,3,North Carolina A&T,27
2015,Drake,34,Valparaiso,7
2015,Bowling Green,62,Massachusetts,38
2015,Florida Atlantic,26,Rice,27
2015,Boston College,0,Wake Forest,3
2015,Eastern Michigan,21,Akron,47
2015,Towson,30,James Madison,51
2015,Prairie View A&M,45,Mississippi Valley State,6
2015,Toledo,38,Kent State,7
2015,Western Carolina,24,Mercer,21
2015,UT Martin,28,Tennessee State,14
2015,Richmond,27,Elon,14
2015,UAlbany,7,Maine,39
2015,Purdue,13,Minnesota,41
2015,South Florida,45,Syracuse,24
2015,Clemson,43,Georgia Tech,24
2015,LSU,45,South Carolina,24
